A,B,C
143.96808326662014,140.0363362790959,140.6453173338613
141.94112631249337,138.51014513257914,135.18815251430914
141.39367510717526,141.63587897835978,137.79965366463938
137.33993890902082,142.29154738614295,136.1791894278769
139.23678843911858,137.6226887446427,138.7124593211559
143.94156215571456,140.51129604036174,136.16598911227163
136.85710483617947,141.26663970130414,136.303281547413
140.2679172119843,136.04015864971166,136.41493019348837
137.01311717659797,142.3807621784487,139.0367845012181
139.91497647983792,139.42805275971332,138.31035169472165
137.19601002450224,138.0054900676877,138.0149909017873
137.30583599736644,136.52835483300882,138.09162026122652
141.2587309131149,143.39224645662492,138.1214739401706
137.20941604587955,139.04340404642707,137.66414342846437
143.8968476566893,140.0146745822365,138.08451888014423
139.9683533961393,140.54487880024197,135.56948983627393
139.1118852477992,137.34807967730578,138.74549476334093
140.41847486054763,142.49308593916842,138.391754067751
145.2683098704433,140.81035364970904,136.71982631702974
139.2624540718181,138.79993803868282,134.63263192318345
137.41694073236712,141.50690459538362,139.2396442355472
139.59200331852531,139.1198515638186,135.53675765050252
138.10375223591154,139.42859510966144,136.40156943877835
139.07286892093884,140.63694731194082,136.2974076989019
138.22570746032915,136.1338316446712,138.19825850144264
141.04903712274682,138.08325648390732,139.90664567154286
139.16708961108068,140.89709514321603,137.0661418446997
141.1879040778851,139.45881192830765,137.38423000334598
138.199402182195,140.58289923855793,139.81143623207683
138.3815398951578,140.97086493463755,140.20435299150958
